study_id,icd10_code
NCT05833373,I49.9
NCT05833373,I51.9
NCT05833373,I51.6
NCT04146454,G93.9
NCT04146454,G96.9
NCT04146454,G00-G99.9
NCT04146454,G31.9
NCT04146454,G20
NCT01864720,G00-G99.9
NCT01864720,F99-F99.9
NCT01864720,G47.0
NCT04004273,E34.9
NCT04004273,K00-K93.9
NCT04004273,R73.9
NCT04004273,K70-K77.9
NCT04004273,E10-E14.9
NCT04004273,E11
NCT04004273,E70-E90.9
NCT03554642,I64
NCT03554642,I67.9
NCT03554642,G93.9
NCT03554642,G96.9
NCT03554642,G00-G99.9
NCT03554642,I51.6
NCT04228289,F99-F99.9
NCT04228289,F43.1
NCT05012735,L70.0
NCT03438331,F39
NCT03438331,F99-F99.9
NCT03438331,G00-G99.9
NCT03438331,G47.0
NCT06249217,G00-G99.9
NCT06249217,F99-F99.9
NCT01162018,G00-G99.9
NCT01162018,F99-F99.9
NCT01162018,G47.0
NCT04539509,G93.9
NCT04539509,G96.9
NCT04539509,G00-G99.9
NCT04539509,S00-S09.9
NCT04539509,S06.0
NCT00389649,I51.9
NCT00389649,I51.6
NCT00389649,I50
NCT03593772,M60-M63.9
NCT03593772,R52.9
NCT03860519,T78.4
NCT03860519,J45
NCT02073188,E70-E90.9
NCT02073188,E34.9
NCT02073188,E10-E14.9
NCT01879982,F39
NCT01879982,F99-F99.9
NCT01879982,F31
NCT04716673,G93.9
NCT04716673,G96.9
NCT04716673,G00-G99.9
NCT04716673,G40
NCT04608617,I64
NCT04608617,I67.9
NCT04608617,G93.9
NCT04608617,G96.9
NCT04608617,G00-G99.9
NCT04608617,I51.6
NCT05285631,I20-I25.9
NCT05285631,I51.9
NCT05285631,I51.6
NCT01901211,G00-G99.9
NCT01901211,G93.9
NCT01901211,G96.9
NCT05329415,A31.9
NCT05329415,A49.9
NCT05329415,A15-A19.9
NCT06428006,G00-G99.9
